Daily Interconnector Net Flows
Gas Day ,Daily Flow (kWh)
01-Oct-2016,86697040
02-Oct-2016,84047472
03-Oct-2016,123870272
04-Oct-2016,192802560
05-Oct-2016,259544368
06-Oct-2016,306207264
07-Oct-2016,242573872
08-Oct-2016,194693808
09-Oct-2016,196328496
10-Oct-2016,155733472
11-Oct-2016,263007024
12-Oct-2016,157337296
13-Oct-2016,126941200
14-Oct-2016,211440768
15-Oct-2016,113691704
16-Oct-2016,109293648
17-Oct-2016,168228288
18-Oct-2016,219323344
19-Oct-2016,135166816
20-Oct-2016,146221824
21-Oct-2016,84877376
22-Oct-2016,130709672
23-Oct-2016,134768448
24-Oct-2016,63117748
25-Oct-2016,123121544
26-Oct-2016,59314504
27-Oct-2016,109181624
28-Oct-2016,153490672
29-Oct-2016,141824318
30-Oct-2016,156159424
31-Oct-2016,131262776
01-Nov-2016,72411752
02-Nov-2016,-30370772
03-Nov-2016,-239292336
04-Nov-2016,-189613200
05-Nov-2016,-94395672
06-Nov-2016,-80554096
07-Nov-2016,-251708832
08-Nov-2016,-273130496
09-Nov-2016,-109410128
10-Nov-2016,-216112496
11-Nov-2016,-128092752
12-Nov-2016,-69870880
13-Nov-2016,-71407680
14-Nov-2016,-66836996
15-Nov-2016,81383336
16-Nov-2016,55150108
17-Nov-2016,-165738272
18-Nov-2016,-225411472
19-Nov-2016,-295926720
20-Nov-2016,-294642976
21-Nov-2016,-322567168
22-Nov-2016,-117336968
23-Nov-2016,-229686624
24-Nov-2016,-326285824
25-Nov-2016,-295546016
26-Nov-2016,-400277120
27-Nov-2016,-400186080
28-Nov-2016,-337640704
29-Nov-2016,-422762912
30-Nov-2016,-420002368
01-Dec-2016,-502360384
02-Dec-2016,-529382112
03-Dec-2016,-542744832
04-Dec-2016,-555706944
05-Dec-2016,-482125440
06-Dec-2016,-326104352
07-Dec-2016,-148752128
08-Dec-2016,-275625984
09-Dec-2016,-184384848
10-Dec-2016,-235568208
11-Dec-2016,-235753040
12-Dec-2016,-280109408
13-Dec-2016,-118761536
14-Dec-2016,-203230288
15-Dec-2016,-182492464
16-Dec-2016,-211318528
17-Dec-2016,-244008736
18-Dec-2016,-242903264
19-Dec-2016,-218154912
20-Dec-2016,-67931248
21-Dec-2016,-82451776
22-Dec-2016,-88272304
23-Dec-2016,-63691032
24-Dec-2016,-280524064
25-Dec-2016,-176079344
26-Dec-2016,-279014496
27-Dec-2016,-277148256
28-Dec-2016,-317261472
29-Dec-2016,-345574368
30-Dec-2016,-312023136
31-Dec-2016,-313755200
01-Jan-2017,-340595872
02-Jan-2017,-398365408
03-Jan-2017,-513944384
04-Jan-2017,-329269504
05-Jan-2017,-337078272
06-Jan-2017,-241150416
07-Jan-2017,-213551520
08-Jan-2017,-222630864
09-Jan-2017,-171639600
10-Jan-2017,-127783672
11-Jan-2017,-226495024
12-Jan-2017,-374718144
13-Jan-2017,-358262752
14-Jan-2017,-403750400
15-Jan-2017,-356739877
16-Jan-2017,-208302947
17-Jan-2017,-180136978
18-Jan-2017,-183660016
19-Jan-2017,-113475088
20-Jan-2017,-130325256
21-Jan-2017,-307875456
22-Jan-2017,-306130560
23-Jan-2017,-267522016
24-Jan-2017,-145568848
25-Jan-2017,-22874528
26-Jan-2017,-56905000
27-Jan-2017,-110877016
28-Jan-2017,-138023520
29-Jan-2017,-165660672
30-Jan-2017,-81807928
31-Jan-2017,-159943408
01-Feb-2017,-180688048
02-Feb-2017,-367287296
03-Feb-2017,-329437952
04-Feb-2017,-492931520
05-Feb-2017,-509210016
06-Feb-2017,-426919392
07-Feb-2017,-277710880
08-Feb-2017,-337041216
09-Feb-2017,-209370320
10-Feb-2017,-287948832
11-Feb-2017,-285508704
12-Feb-2017,-297897856
13-Feb-2017,-213956800
14-Feb-2017,-253870736
15-Feb-2017,-131673696
16-Feb-2017,-163192640
17-Feb-2017,-195241872
18-Feb-2017,-21041660
19-Feb-2017,0
20-Feb-2017,26310108
21-Feb-2017,108207520
22-Feb-2017,69471792
23-Feb-2017,-23854288
24-Feb-2017,-82714832
25-Feb-2017,-39813560
26-Feb-2017,-35911592
27-Feb-2017,-69915240
28-Feb-2017,-122258272
01-Mar-2017,-25525012
02-Mar-2017,76431648
03-Mar-2017,15721068
04-Mar-2017,20048636
05-Mar-2017,24406536
06-Mar-2017,115240128
07-Mar-2017,208159055
08-Mar-2017,202263296
09-Mar-2017,203428416
10-Mar-2017,137455136
11-Mar-2017,44321928
12-Mar-2017,30930666
13-Mar-2017,129940952
14-Mar-2017,281223264
15-Mar-2017,157265392
16-Mar-2017,112232520
17-Mar-2017,163915104
18-Mar-2017,159639168
19-Mar-2017,164978640
20-Mar-2017,133000064
21-Mar-2017,50663004
22-Mar-2017,95126080
23-Mar-2017,80662504
24-Mar-2017,43217792
25-Mar-2017,12083038
26-Mar-2017,9459998
27-Mar-2017,65779444
28-Mar-2017,142043824
29-Mar-2017,96708256
30-Mar-2017,143717360
31-Mar-2017,80727448
01-Apr-2017,342304160
02-Apr-2017,329314144
03-Apr-2017,400869120
04-Apr-2017,446098816
05-Apr-2017,476121120
06-Apr-2017,470335200
07-Apr-2017,494790624
08-Apr-2017,383195680
09-Apr-2017,358319104
10-Apr-2017,395332832
11-Apr-2017,495707584
12-Apr-2017,476443072
13-Apr-2017,481806784
14-Apr-2017,407796000
15-Apr-2017,364227360
16-Apr-2017,352689792
17-Apr-2017,385937408
18-Apr-2017,350012192
19-Apr-2017,438756896
20-Apr-2017,434543712
